trial_num,repeating_trial,reward,trial_start_time(ms),log_sent_config_to_cameras(ms),object_in_position_time(ms),arm_liftoff_time(ms),log_started_camera_recording(ms),log_started_ps_recording(ms),log_started_ephys_recording(ms),log_sent_start_sync_messages(ms),log_started_monitoring_ps(ms),started_touching_time(ms),trial_end_time(ms),log_starting_finishing_recordings(ms),log_sent_end_sync_messages(ms),log_stopped_camera_recordings(ms),log_stopped_ps_recordings(ms),trial_finished_time(ms),pos_translation_z(mm),pos_tilt(deg),pos_aperture(mm),targetForce(N),targetForceRelRangeMin(N),targetForceRelRangeMax(N),
0,0,0,706224628,706224667,706224677,706224678,706224677,706224677,706224628,706224629,706224678,0,706244680,706245681,706245681,706245690,706245690,706245690,150,0,0,1,-0.25,100,
1,0,0,706247693,706247730,706247740,706247741,706247740,706247740,706247693,706247693,706247741,0,706267743,706268744,706268744,706268754,706268754,706268754,157.5,0,0,1,-0.25,100,
2,0,0,706270759,706270796,706270807,706270808,706270807,706270807,706270759,706270759,706270808,0,706285100,706286101,706286101,706286112,706286112,706286112,157.5,0,0,1,-0.25,100,
