trial_num,repeating_trial,reward,trial_start_time(ms),log_sent_config_to_cameras(ms),object_in_position_time(ms),arm_liftoff_time(ms),log_started_camera_recording(ms),log_started_ps_recording(ms),log_started_ephys_recording(ms),log_sent_start_sync_messages(ms),log_started_monitoring_ps(ms),started_touching_time(ms),trial_end_time(ms),log_starting_finishing_recordings(ms),log_sent_end_sync_messages(ms),log_stopped_camera_recordings(ms),log_stopped_ps_recordings(ms),trial_finished_time(ms),pos_translation_z(mm),pos_tilt(deg),pos_aperture(mm),targetForce(N),targetForceRelRangeMin(N),targetForceRelRangeMax(N),
0,0,0,751766263,751766299,751766318,751766318,751766318,751766318,751766263,751766263,751766318,0,751786320,751787321,751787321,751787330,751787330,751787330,150,0,0,1,-0.25,100,
1,0,0,751789333,751789371,751789390,751789391,751789390,751789390,751789333,751789334,751789391,0,751809392,751810393,751810393,751810403,751810403,751810403,157.5,0,0,1,-0.25,100,
2,0,0,751812405,751812441,751812458,751812458,751812458,751812458,751812405,751812405,751812459,0,751832460,751833461,751833461,751833468,751833468,751833468,157.5,0,0,1,-0.25,100,
0,0,0,751835471,751835504,751835521,751835522,751835521,751835521,751835471,751835471,751835522,0,751841486,751842486,751852449,751852464,751852464,751852464,165,0,0,1,-0.25,100,
