trial_num,repeating_trial,reward,trial_start_time(ms),log_sent_config_to_cameras(ms),object_in_position_time(ms),arm_liftoff_time(ms),log_started_camera_recording(ms),log_started_ps_recording(ms),log_started_ephys_recording(ms),log_sent_start_sync_messages(ms),log_started_monitoring_ps(ms),started_touching_time(ms),trial_end_time(ms),log_starting_finishing_recordings(ms),log_sent_end_sync_messages(ms),log_stopped_camera_recordings(ms),log_stopped_ps_recordings(ms),trial_finished_time(ms),pos_translation_z(mm),pos_tilt(deg),pos_aperture(mm),targetForce(N),targetForceRelRangeMin(N),targetForceRelRangeMax(N),
0,0,0,424430283,424430316,424430330,424430331,424430330,424430330,424430283,424430284,424430331,0,424450333,424451333,424451333,424451341,424451341,424451341,150,0,0,1,-0.25,100,
1,0,0,424453344,424453379,424453395,424453395,424453395,424453395,424453344,424453345,424453395,0,424473397,424474397,424474397,424474405,424474405,424474405,157.5,0,0,1,-0.25,100,
2,0,0,424476407,424476444,424476460,424476460,424476460,424476460,424476407,424476407,424476460,0,424496462,424497463,424497463,424497471,424497471,424497471,157.5,0,0,1,-0.25,100,
3,0,0,424499474,424499508,424499526,424499526,424499526,424499526,424499474,424499475,424499526,0,424509883,424510884,424510884,424510891,424510891,424510891,165,0,0,1,-0.25,100,
