trial_num,repeating_trial,reward,trial_start_time(ms),log_sent_config_to_cameras(ms),object_in_position_time(ms),arm_liftoff_time(ms),log_started_camera_recording(ms),log_started_ps_recording(ms),log_started_ephys_recording(ms),log_sent_start_sync_messages(ms),log_started_monitoring_ps(ms),started_touching_time(ms),trial_end_time(ms),log_starting_finishing_recordings(ms),log_sent_end_sync_messages(ms),log_stopped_camera_recordings(ms),log_stopped_ps_recordings(ms),trial_finished_time(ms),pos_translation_z(mm),pos_tilt(deg),pos_aperture(mm),targetForce(N),targetForceRelRangeMin(N),targetForceRelRangeMax(N),
0,0,0,427768766,427768798,427768817,427768817,427768817,427768817,427768766,427768766,427768817,0,427788818,427789819,427789819,427789826,427789826,427789826,150,0,0,1,-0.25,100,
1,0,0,427791829,427791864,427791881,427791882,427791881,427791881,427791829,427791829,427791882,0,427811883,427812884,427812884,427812892,427812892,427812892,157.5,0,0,1,-0.25,100,
2,0,0,427814895,427814931,427814946,427814946,427814946,427814946,427814895,427814895,427814946,0,427834948,427835949,427835949,427835957,427835957,427835957,157.5,0,0,1,-0.25,100,
3,0,0,427837960,427838001,427838015,427838015,427838015,427838015,427837960,427837961,427838015,0,427858017,427859018,427859018,427859026,427859026,427859026,165,0,0,1,-0.25,100,
4,0,0,427861029,427861064,427861085,427861085,427861085,427861085,427861029,427861029,427861085,0,427881087,427882088,427882088,427882096,427882096,427882096,165,0,0,1,-0.25,100,
5,0,0,427884099,427884141,427884160,427884161,427884160,427884160,427884099,427884099,427884161,0,427887766,427888767,427888767,427888778,427888778,427888778,150,0,0,1,-0.25,100,
