trial_num,repeating_trial,reward,trial_start_time(ms),log_sent_config_to_cameras(ms),object_in_position_time(ms),arm_liftoff_time(ms),log_started_camera_recording(ms),log_started_ps_recording(ms),log_started_ephys_recording(ms),log_sent_start_sync_messages(ms),log_started_monitoring_ps(ms),started_touching_time(ms),trial_end_time(ms),log_starting_finishing_recordings(ms),log_sent_end_sync_messages(ms),log_stopped_camera_recordings(ms),log_stopped_ps_recordings(ms),trial_finished_time(ms),pos_translation_z(mm),pos_tilt(deg),pos_aperture(mm),targetForce(N),targetForceRelRangeMin(N),targetForceRelRangeMax(N),
0,0,0,101935707,101935740,101935754,101935755,101935754,101935754,101935707,101935708,101935755,0,101948554,101949554,101949554,101949563,101949563,101949563,150,0,0,1,-0.25,100,
1,0,0,101960451,101960485,101960498,101960499,101960498,101960498,101960451,101960451,101960499,0,101980501,101981501,101981502,101981512,101981512,101981512,157.5,0,0,1,-0.25,100,
2,0,0,101983514,101983550,101983563,101983563,101983563,101983563,101983514,101983514,101983563,0,102003565,102004566,102004566,102004575,102004575,102004575,157.5,0,0,1,-0.25,100,
3,0,0,102006578,102006619,102006635,102006636,102006635,102006635,102006578,102006579,102006636,0,102026637,102027638,102027638,102027646,102027646,102027646,165,0,0,1,-0.25,100,
4,0,0,102029648,102029682,102029696,102029697,102029696,102029696,102029648,102029648,102029697,0,102049698,102050699,102050700,102050708,102050708,102050708,165,0,0,1,-0.25,100,
5,0,0,102052710,102052749,102052765,102052766,102052765,102052765,102052710,102052710,102052766,0,102055154,102056154,102056154,102056163,102056163,102056163,150,0,0,1,-0.25,100,
