trial_num,repeating_trial,reward,trial_start_time(ms),log_sent_config_to_cameras(ms),object_in_position_time(ms),arm_liftoff_time(ms),log_started_camera_recording(ms),log_started_ps_recording(ms),log_started_ephys_recording(ms),log_sent_start_sync_messages(ms),log_started_monitoring_ps(ms),started_touching_time(ms),trial_end_time(ms),log_starting_finishing_recordings(ms),log_sent_end_sync_messages(ms),log_stopped_camera_recordings(ms),log_stopped_ps_recordings(ms),trial_finished_time(ms),pos_translation_z(mm),pos_tilt(deg),pos_aperture(mm),targetForce(N),targetForceRelRangeMin(N),targetForceRelRangeMax(N),
0,0,0,12498649,12501962,12520891,12520892,12520891,12520891,12501916,12501917,12520892,0,12537647,12538648,12538648,12538659,12538659,12538659,150,0,0,1,-0.25,100,
1,0,0,12566891,12566930,12566940,12566941,12566940,12566940,12566891,12566891,12566941,0,12586942,12587942,12587943,12587950,12587950,12587950,157.5,0,0,1,-0.25,100,
2,0,0,12589955,12589997,12590009,12590010,12590009,12590009,12589955,12589955,12590010,0,12610012,12611012,12611012,12611022,12611022,12611022,157.5,0,0,1,-0.25,100,
3,0,0,12613025,12613068,12613078,12613078,12613078,12613078,12613025,12613026,12613079,0,12633080,12634081,12634081,12634091,12634091,12634091,165,0,0,1,-0.25,100,
4,0,0,12636098,12636140,12636153,12636154,12636153,12636153,12636098,12636098,12636154,0,12656155,12657156,12657156,12657166,12657166,12657166,165,0,0,1,-0.25,100,
5,0,0,12659170,12659214,12659223,12659224,12659223,12659223,12659170,12659170,12659224,0,12679226,12680227,12680227,12680235,12680235,12680235,150,0,0,1,-0.25,100,
6,1,0,12682239,12682286,12682295,12682296,12682295,12682295,12682239,12682240,12682296,0,12692509,12693510,12693510,12693519,12693519,12693519,150,0,0,1,-0.25,100,
