trial_num,repeating_trial,reward,trial_start_time(ms),log_sent_config_to_cameras(ms),object_in_position_time(ms),arm_liftoff_time(ms),log_started_camera_recording(ms),log_started_ps_recording(ms),log_started_ephys_recording(ms),log_sent_start_sync_messages(ms),log_started_monitoring_ps(ms),started_touching_time(ms),trial_end_time(ms),log_starting_finishing_recordings(ms),log_sent_end_sync_messages(ms),log_stopped_camera_recordings(ms),log_stopped_ps_recordings(ms),trial_finished_time(ms),pos_translation_z(mm),pos_tilt(deg),pos_aperture(mm),targetForce(N),targetForceRelRangeMin(N),targetForceRelRangeMax(N),
0,0,0,423853051,423853084,423858540,423858541,423858540,423858540,423853051,423853052,423858541,0,423878542,423879542,423879543,423879552,423879552,423879552,150,0,0,1,-0.25,100,
1,0,0,423881555,423881592,423887381,423887381,423887381,423887381,423881555,423881555,423887381,0,423907383,423908383,423908384,423908392,423908392,423908392,157.5,0,0,1,-0.25,100,
2,0,0,423910395,423910437,423910455,423910455,423910455,423910455,423910395,423910395,423910455,0,423912339,423913340,423913340,423913348,423913348,423913348,157.5,0,0,1,-0.25,100,
