trial_num,repeating_trial,reward,trial_start_time(ms),log_sent_config_to_cameras(ms),object_in_position_time(ms),arm_liftoff_time(ms),log_started_camera_recording(ms),log_started_ps_recording(ms),log_started_ephys_recording(ms),log_sent_start_sync_messages(ms),log_started_monitoring_ps(ms),started_touching_time(ms),trial_end_time(ms),log_starting_finishing_recordings(ms),log_sent_end_sync_messages(ms),log_stopped_camera_recordings(ms),log_stopped_ps_recordings(ms),trial_finished_time(ms),pos_translation_z(mm),pos_tilt(deg),pos_aperture(mm),targetForce(N),targetForceRelRangeMin(N),targetForceRelRangeMax(N),
0,0,0,755017617,755017651,755017666,755017667,755017666,755017666,755017617,755017618,755017667,0,755037669,755038669,755042160,755047046,755047046,755047046,150,0,0,1,-0.25,100,
1,0,0,755049049,755049088,755049104,755049104,755049104,755049104,755049049,755049050,755049104,0,755069106,755070106,755070107,755070114,755070114,755070114,157.5,0,0,1,-0.25,100,
2,0,0,755072118,755072156,755072171,755072172,755072171,755072171,755072118,755072118,755072172,0,755073489,755074489,755084870,755084885,755084885,755084885,157.5,0,0,1,-0.25,100,
0,0,0,755089694,755089733,755089748,755089749,755089748,755089748,755089694,755089694,755089749,0,755109751,755110751,755110751,755110759,755110759,755110759,150,0,0,1,-0.25,100,
1,0,0,755112762,755112796,755112815,755112815,755112814,755112814,755112762,755112762,755112815,0,755121328,755122329,755122330,755122341,755122341,755122341,157.5,0,0,1,-0.25,100,
0,0,0,755125635,755125671,755125687,755125687,755125687,755125687,755125635,755125636,755125687,0,755131344,755132345,755132345,755132353,755132353,755132353,150,0,0,1,-0.25,100,
