trial_num,repeating_trial,reward,trial_start_time(ms),log_sent_config_to_cameras(ms),object_in_position_time(ms),arm_liftoff_time(ms),log_started_camera_recording(ms),log_started_ps_recording(ms),log_started_ephys_recording(ms),log_sent_start_sync_messages(ms),log_started_monitoring_ps(ms),started_touching_time(ms),trial_end_time(ms),log_starting_finishing_recordings(ms),log_sent_end_sync_messages(ms),log_stopped_camera_recordings(ms),log_stopped_ps_recordings(ms),trial_finished_time(ms),pos_translation_z(mm),pos_tilt(deg),pos_aperture(mm),targetForce(N),targetForceRelRangeMin(N),targetForceRelRangeMax(N),
0,0,0,575088085,575088122,575088143,575088144,575088143,575088143,575088085,575088086,575088144,0,575108146,575109146,575109146,575109154,575109154,575109154,150,0,0,1,-0.25,100,
1,0,0,575111156,575111195,575111213,575111214,575111213,575111213,575111156,575111157,575111214,0,575131216,575132216,575132216,575132223,575132223,575132223,157.5,0,0,1,-0.25,100,
2,0,0,575134226,575134263,575134282,575134282,575134282,575134282,575134226,575134226,575134282,0,575154284,575155285,575155285,575155293,575155293,575155293,157.5,0,0,1,-0.25,100,
3,0,0,575157296,575157331,575157347,575157348,575157347,575157347,575157296,575157296,575157348,0,575158351,575159351,575159352,575159360,575159360,575159360,165,0,0,1,-0.25,100,
