trial_num,repeating_trial,reward,trial_start_time(ms),log_sent_config_to_cameras(ms),object_in_position_time(ms),arm_liftoff_time(ms),log_started_camera_recording(ms),log_started_ps_recording(ms),log_started_ephys_recording(ms),log_sent_start_sync_messages(ms),log_started_monitoring_ps(ms),started_touching_time(ms),trial_end_time(ms),log_starting_finishing_recordings(ms),log_sent_end_sync_messages(ms),log_stopped_camera_recordings(ms),log_stopped_ps_recordings(ms),trial_finished_time(ms),pos_translation_z(mm),pos_tilt(deg),pos_aperture(mm),targetForce(N),targetForceRelRangeMin(N),targetForceRelRangeMax(N),
0,0,0,781230092,781230131,781230150,781230151,781230150,781230150,781230092,781230092,781230151,0,781250152,781251153,781251153,781251162,781251162,781251162,150,0,0,1,-0.25,100,
1,0,0,781253166,781253207,781253222,781253223,781253222,781253222,781253166,781253166,781253223,0,781273225,781274226,781274226,781274235,781274235,781274235,157.5,0,0,1,-0.25,100,
2,0,0,781276237,781276282,781276299,781276300,781276299,781276299,781276237,781276238,781276300,0,781277428,781278428,781278429,781278438,781278438,781278438,157.5,0,0,1,-0.25,100,
