trial_num,repeating_trial,reward,trial_start_time(ms),log_sent_config_to_cameras(ms),object_in_position_time(ms),arm_liftoff_time(ms),log_started_camera_recording(ms),log_started_ps_recording(ms),log_started_ephys_recording(ms),log_sent_start_sync_messages(ms),log_started_monitoring_ps(ms),started_touching_time(ms),trial_end_time(ms),log_starting_finishing_recordings(ms),log_sent_end_sync_messages(ms),log_stopped_camera_recordings(ms),log_stopped_ps_recordings(ms),trial_finished_time(ms),pos_translation_z(mm),pos_tilt(deg),pos_aperture(mm),targetForce(N),targetForceRelRangeMin(N),targetForceRelRangeMax(N),
0,0,0,755224313,755224345,755224360,755224361,755224360,755224360,755224313,755224313,755224361,0,755244363,755245363,755245363,755245371,755245371,755245371,150,0,0,1,-0.25,100,
1,0,0,755247374,755247408,755247425,755247425,755247425,755247425,755247374,755247374,755247425,0,755267427,755268428,755268428,755268435,755268435,755268435,157.5,0,0,1,-0.25,100,
2,0,0,755270438,755270472,755270490,755270491,755270490,755270490,755270438,755270438,755270491,0,755290492,755291493,755291494,755291501,755291501,755291501,157.5,0,0,1,-0.25,100,
3,0,0,755293503,755293540,755293559,755293559,755293559,755293559,755293503,755293504,755293559,0,755295200,755296200,755296200,755296208,755296208,755296208,165,0,0,1,-0.25,100,
0,0,0,755301386,755301420,755301438,755301439,755301438,755301438,755301386,755301387,755301439,0,755321440,755322441,755322441,755322448,755322448,755322448,150,0,0,1,-0.25,100,
1,0,0,755324451,755324490,755324507,755324508,755324507,755324507,755324451,755324452,755324508,0,755329232,755330232,755330232,755330241,755330241,755330241,157.5,0,0,1,-0.25,100,
3,0,0,755333201,755333236,755333254,755333254,755333253,755333253,755333201,755333202,755333254,0,755337047,755338048,755338048,755338055,755338055,755338055,165,0,0,1,-0.25,100,
8,1,0,755341666,755341697,755341712,755341713,755341712,755341712,755341666,755341666,755341713,0,755345551,755346552,755346553,755346559,755346559,755346559,157.5,0,0,1,-0.25,100,
