left Sync information: global sync logger time 09:42:44.432 equals 0
70: 1 1 1 1 1 1 1 1 1 1 1 7 1 1 1 1 |1 1 1 1 6 1 1 1 1 1 1 1 1 1 1 1 |1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 |1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 |0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 |0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 |0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 |0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 |0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 |0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 |0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 |0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 |
80: 1 1 1 1 1 1 1 1 1 1 1 7 1 1 1 1 |1 1 1 1 6 1 1 1 1 1 1 1 1 1 1 1 |1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 |1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 |1 1 1 1 1 1 1 1 1 1 1 1 1 8 1 1 |1 1 1 1 1 1 3 2 2 2 1 1 1 1 1 1 |1 1 1 1 1 1 1 4 1 1 1 1 1 1 1 1 |1 1 1 3 7 2 1 1 1 1 1 1 7 1 1 2 |1 1 3 1 1 1 1 2 1 1 1 1 6 1 1 1 |1 1 1 9 1 1 1 1 1 1 1 9 8 1 1 1 |4 1 1 1 1 1 5 1 1 1 1 7 2 1 1 9 |0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 |
90: 1 1 1 1 1 1 1 1 1 1 1 7 1 1 1 1 |1 1 1 1 6 1 1 1 1 1 1 1 1 1 1 1 |1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 |1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 |1 1 1 1 1 1 1 1 1 1 1 1 1 8 1 1 |1 1 1 1 1 1 3 2 2 2 1 1 1 1 1 1 |1 1 1 1 1 1 1 4 1 1 1 1 1 1 1 1 |1 1 1 3 7 2 1 1 1 1 1 1 7 1 1 2 |1 1 3 1 1 1 1 2 1 1 1 1 6 1 1 1 |1 1 1 9 1 1 1 1 1 1 1 9 8 1 1 1 |4 1 1 1 1 1 5 1 1 1 1 7 2 1 1 9 |1 11 1 1 8 1 2 1 1 1 3 1 1 1 9 8 |
100: 1 1 1 1 1 1 1 1 1 1 1 7 1 1 1 1 |1 1 1 1 6 1 1 1 1 1 1 1 1 1 1 1 |1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 |1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 |1 1 1 1 1 1 1 1 1 1 1 1 1 8 1 1 |1 1 1 1 1 1 3 2 2 2 1 1 1 1 1 1 |1 1 1 1 1 1 1 4 1 1 1 1 1 1 1 1 |1 1 1 3 7 2 1 1 1 1 1 1 7 1 1 2 |1 1 3 1 1 1 1 2 1 1 1 1 6 1 1 1 |1 1 1 9 1 1 1 1 1 1 1 9 8 1 1 1 |4 1 1 1 1 1 5 1 1 1 1 7 2 1 1 9 |1 11 1 1 8 1 2 1 1 1 3 1 1 1 9 8 |
112: 1 1 1 1 1 1 1 1 1 1 4 7 1 1 1 1 |1 1 4 4 1 1 1 1 1 1 1 1 1 1 5 1 |1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 |1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 |1 1 1 1 4 1 1 1 1 1 1 1 1 1 1 1 |1 1 1 1 1 1 2 1 2 1 1 1 1 4 1 1 |1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 |1 1 1 1 6 2 1 1 5 1 1 1 1 1 1 1 |1 1 1 1 1 1 1 1 1 1 5 1 1 1 1 1 |1 1 1 1 1 1 1 2 1 1 1 8 1 1 1 1 |4 1 1 1 1 1 5 1 1 1 1 7 2 1 1 9 |1 11 1 1 8 1 2 1 1 1 3 1 1 1 9 8 |
122: 1 1 1 1 1 1 1 1 1 1 4 7 1 1 1 1 |1 1 4 4 1 1 1 1 1 1 1 1 1 1 5 1 |1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 |1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 |1 1 1 1 4 1 1 1 1 1 1 1 1 1 1 1 |1 1 1 1 1 1 2 1 2 1 1 1 1 4 1 1 |1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 |1 1 1 1 6 2 1 1 5 1 1 1 1 1 1 1 |1 1 1 1 1 1 1 1 1 1 5 1 1 1 1 1 |1 1 1 1 1 1 1 2 1 1 1 8 1 1 1 1 |4 1 2 1 1 1 8 1 1 1 1 7 2 1 1 1 |1 12 1 7 2 1 1 1 1 1 12 1 1 1 4 1 |
133: 3 1 1 1 1 1 1 1 1 1 8 6 1 1 1 1 |1 1 4 4 1 1 1 1 1 1 1 1 1 1 5 1 |1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 |1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 |1 1 1 1 4 1 1 1 1 1 1 1 1 1 1 1 |1 1 1 1 1 1 2 1 2 1 1 1 1 4 1 1 |1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 |1 1 1 1 6 2 1 1 5 1 1 1 1 1 1 1 |1 1 1 1 1 1 1 1 1 1 5 1 1 1 1 1 |1 1 1 1 1 1 1 2 1 1 1 8 1 1 1 1 |4 1 2 1 1 1 8 1 1 1 1 7 2 1 1 1 |1 12 1 7 2 1 1 1 1 1 12 1 1 1 4 1 |
143: 3 1 1 1 1 1 1 1 1 1 8 6 1 1 1 1 |1 1 6 1 1 1 1 1 1 1 1 1 1 1 1 1 |1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 |1 1 4 1 1 1 1 1 1 1 1 1 1 1 1 1 |1 1 1 1 1 1 1 1 1 1 1 1 1 7 1 1 |1 1 1 1 6 1 1 3 1 1 1 1 1 3 1 1 |1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 |1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 |1 1 1 1 1 1 1 1 1 1 5 1 1 1 1 1 |1 1 1 1 1 1 1 2 1 1 1 8 1 1 1 1 |4 1 2 1 1 1 8 1 1 1 1 7 2 1 1 1 |1 12 1 7 2 1 1 1 1 1 12 1 1 1 4 1 |
154: 3 1 1 1 1 1 1 1 1 1 8 6 1 1 1 1 |1 1 6 1 1 1 1 1 1 1 1 1 1 1 1 1 |1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 |1 1 4 1 1 1 1 1 1 1 1 1 1 1 1 1 |1 1 1 1 1 1 1 1 1 1 1 1 1 7 1 1 |1 1 1 1 6 1 1 3 1 1 1 1 1 3 1 1 |1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 |1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 |1 1 3 4 1 1 1 8 1 1 1 1 1 1 1 1 |1 1 1 1 1 1 1 1 1 1 1 8 1 1 1 1 |3 1 1 1 1 1 7 1 1 1 1 6 1 3 1 2 |1 13 1 1 1 1 1 1 1 1 11 2 8 1 12 2 |
165: 2 1 1 1 1 1 1 1 1 1 7 7 1 1 1 1 |1 1 6 1 1 1 1 1 1 1 1 1 1 1 1 1 |1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 |1 1 4 1 1 1 1 1 1 1 1 1 1 1 1 1 |1 1 1 1 1 1 1 1 1 1 1 1 1 7 1 1 |1 1 1 1 6 1 1 3 1 1 1 1 1 3 1 1 |1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 |1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 |1 1 3 4 1 1 1 8 1 1 1 1 1 1 1 1 |1 1 1 1 1 1 1 1 1 1 1 8 1 1 1 1 |3 1 1 1 1 1 7 1 1 1 1 6 1 3 1 2 |1 13 1 1 1 1 1 1 1 1 11 2 8 1 12 2 |
