trial_num,repeating_trial,reward,trial_start_time(ms),log_sent_config_to_cameras(ms),object_in_position_time(ms),arm_liftoff_time(ms),log_started_camera_recording(ms),log_started_ps_recording(ms),log_started_ephys_recording(ms),log_sent_start_sync_messages(ms),log_started_monitoring_ps(ms),started_touching_time(ms),trial_end_time(ms),log_starting_finishing_recordings(ms),log_sent_end_sync_messages(ms),log_stopped_camera_recordings(ms),log_stopped_ps_recordings(ms),trial_finished_time(ms),pos_translation_z(mm),pos_tilt(deg),pos_aperture(mm),targetForce(N),targetForceRelRangeMin(N),targetForceRelRangeMax(N),
0,0,0,755734384,755734414,755734429,755734430,755734429,755734429,755734384,755734386,755734430,0,755754431,755755432,755755432,755755438,755755438,755755438,150,0,0,1,-0.25,100,
1,0,0,755757441,755757475,755757492,755757493,755757492,755757492,755757441,755757442,755757493,0,755777494,755778495,755778495,755778504,755778504,755778504,157.5,0,0,1,-0.25,100,
2,0,0,755780507,755780540,755780556,755780556,755780556,755780556,755780507,755780507,755780556,0,755800558,755801559,755801559,755801566,755801566,755801566,157.5,0,0,1,-0.25,100,
3,0,0,755803570,755803607,755803623,755803624,755803623,755803623,755803570,755803570,755803624,0,755823626,755824626,755824626,755824635,755824635,755824635,165,0,0,1,-0.25,100,
4,0,0,755826638,755826689,755826706,755826707,755826706,755826706,755826638,755826639,755826707,0,755846709,755847710,755847710,755847717,755847717,755847717,165,0,0,1,-0.25,100,
