trial_num,repeating_trial,reward,trial_start_time(ms),log_sent_config_to_cameras(ms),object_in_position_time(ms),arm_liftoff_time(ms),log_started_camera_recording(ms),log_started_ps_recording(ms),log_started_ephys_recording(ms),log_sent_start_sync_messages(ms),log_started_monitoring_ps(ms),started_touching_time(ms),trial_end_time(ms),log_starting_finishing_recordings(ms),log_sent_end_sync_messages(ms),log_stopped_camera_recordings(ms),log_stopped_ps_recordings(ms),trial_finished_time(ms),pos_translation_z(mm),pos_tilt(deg),pos_aperture(mm),targetForce(N),targetForceRelRangeMin(N),targetForceRelRangeMax(N),
0,0,0,576597033,576597070,576597086,576597086,576597086,576597086,576597033,576597034,576597086,0,576610136,576611137,576611137,576611145,576611145,576611145,150,0,0,1,-0.25,100,
1,0,0,576612673,576612707,576612726,576612726,576612726,576612726,576612673,576612674,576612726,0,576614665,576615666,576615666,576615673,576615673,576615673,157.5,0,0,1,-0.25,100,
2,0,0,576616345,576616383,576616400,576616400,576616400,576616400,576616345,576616346,576616400,0,576617405,576618406,576618406,576618415,576618415,576618415,157.5,0,0,1,-0.25,100,
