trial_num,repeating_trial,reward,trial_start_time(ms),log_sent_config_to_cameras(ms),object_in_position_time(ms),arm_liftoff_time(ms),log_started_camera_recording(ms),log_started_ps_recording(ms),log_started_ephys_recording(ms),log_sent_start_sync_messages(ms),log_started_monitoring_ps(ms),started_touching_time(ms),trial_end_time(ms),log_starting_finishing_recordings(ms),log_sent_end_sync_messages(ms),log_stopped_camera_recordings(ms),log_stopped_ps_recordings(ms),trial_finished_time(ms),pos_translation_z(mm),pos_tilt(deg),pos_aperture(mm),targetForce(N),targetForceRelRangeMin(N),targetForceRelRangeMax(N),
0,0,0,756196447,756196474,756196489,756196490,756196489,756196489,756196447,756196449,756196490,0,756212590,756213590,756213590,756213598,756213598,756213598,150,0,0,1,-0.25,100,
0,0,0,756218288,756218322,756218341,756218341,756218341,756218341,756218288,756218288,756218341,0,756221085,756222086,756222086,756222095,756222095,756222095,150,0,0,1,-0.25,100,
1,0,0,756222687,756222721,756222737,756222738,756222737,756222737,756222687,756222688,756222738,0,756224542,756225543,756225544,756225552,756225552,756225552,157.5,0,0,1,-0.25,100,
0,0,0,756227991,756228025,756228042,756228042,756228042,756228042,756227991,756227992,756228042,0,756232910,756233911,756233911,756233921,756233921,756233921,150,0,0,1,-0.25,100,
