trial_num,repeating_trial,reward,trial_start_time(ms),log_sent_config_to_cameras(ms),object_in_position_time(ms),arm_liftoff_time(ms),log_started_camera_recording(ms),log_started_ps_recording(ms),log_started_ephys_recording(ms),log_sent_start_sync_messages(ms),log_started_monitoring_ps(ms),started_touching_time(ms),trial_end_time(ms),log_starting_finishing_recordings(ms),log_sent_end_sync_messages(ms),log_stopped_camera_recordings(ms),log_stopped_ps_recordings(ms),trial_finished_time(ms),pos_translation_z(mm),pos_tilt(deg),pos_aperture(mm),targetForce(N),targetForceRelRangeMin(N),targetForceRelRangeMax(N),
0,0,0,751703374,751703404,751703412,751703412,751703412,751703412,751703374,751703375,751703412,0,751723414,751724415,751724415,751724430,751724430,751724430,150,0,0,1,-0.25,100,
1,0,0,751726433,751726433,751726433,751726434,751726433,751726433,751726433,751726433,751726434,0,751746437,751747438,751747438,751747438,751747438,751747438,157.5,0,0,1,-0.25,100,
2,0,0,751749441,751749441,751749441,751749442,751749441,751749441,751749441,751749441,751749442,0,751760369,751761370,751761371,751761378,751761378,751761378,157.5,0,0,1,-0.25,100,
