trial_num,repeating_trial,reward,trial_start_time(ms),log_sent_config_to_cameras(ms),object_in_position_time(ms),arm_liftoff_time(ms),log_started_camera_recording(ms),log_started_ps_recording(ms),log_started_ephys_recording(ms),log_sent_start_sync_messages(ms),log_started_monitoring_ps(ms),started_touching_time(ms),trial_end_time(ms),log_starting_finishing_recordings(ms),log_sent_end_sync_messages(ms),log_stopped_camera_recordings(ms),log_stopped_ps_recordings(ms),trial_finished_time(ms),pos_translation_z(mm),pos_tilt(deg),pos_aperture(mm),targetForce(N),targetForceRelRangeMin(N),targetForceRelRangeMax(N),
0,0,0,13847299,13847333,13847348,13847349,13847348,13847348,13847299,13847299,13847349,0,13867350,13868351,13868351,13868359,13868359,13868359,150,0,0,1,-0.25,100,
1,0,0,13880859,13880895,13880910,13880911,13880910,13880910,13880859,13880860,13880911,0,13900913,13901914,13901914,13901922,13901922,13901922,157.5,0,0,1,-0.25,100,
2,0,0,13929205,13929242,13929258,13929259,13929258,13929258,13929205,13929206,13929259,0,13949261,13950262,13950262,13950272,13950272,13950272,157.5,0,0,1,-0.25,100,
3,0,0,13952275,13952310,13952323,13952323,13952323,13952323,13952275,13952275,13952323,0,13972325,13973327,13973327,13973336,13973336,13973336,165,0,0,1,-0.25,100,
4,0,0,13975341,13975378,13975391,13975392,13975391,13975391,13975341,13975341,13975392,0,13988489,13989490,13989490,13989500,13989500,13989500,165,0,0,1,-0.25,100,
