right Sync information: global sync logger time 17:37:10.405 equals 1000
69: 1 2 1 1 1 1 10 1 1 1 1 1 1 1 6 4 |4 7 1 1 1 1 1 1 1 1 2 14 15 1 1 13 |1 2 1 2 2 6 10 1 1 3 5 1 1 3 1 1 |1 1 2 2 9 3 2 6 1 4 10 13 1 1 1 1 |1 8 1 1 1 2 3 1 8 3 14 2 2 3 2 7 |0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 |0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 |0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 |0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 |0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 |0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 |0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 |
80: 1 2 1 1 1 1 10 1 1 1 1 1 1 1 6 4 |4 7 1 1 1 1 1 1 1 1 2 14 15 1 1 13 |1 2 1 2 2 6 10 1 1 3 5 1 1 3 1 1 |1 1 2 2 9 3 2 6 1 4 10 13 1 1 1 1 |1 8 1 1 1 2 3 1 8 3 14 2 2 3 2 7 |1 1 1 1 2 1 1 1 3 3 1 1 1 4 1 1 |7 4 15 4 1 1 1 11 1 2 7 8 1 8 1 1 |1 1 1 1 2 2 7 8 12 7 5 3 1 1 2 1 |1 2 1 2 2 1 2 1 1 1 1 1 1 6 1 13 |1 1 1 1 1 1 1 6 2 2 1 1 4 11 1 1 |1 6 7 6 1 1 2 1 3 13 5 1 1 1 2 1 |8 1 1 1 2 1 1 1 6 16 11 5 1 5 17 12 |
91: 1 2 1 1 1 1 10 1 1 1 1 1 1 1 6 4 |4 7 1 1 1 1 1 1 1 1 2 14 15 1 1 13 |1 2 1 2 2 6 10 1 1 3 5 1 1 3 1 1 |1 1 2 2 9 3 2 6 1 4 10 13 1 1 1 1 |1 8 1 1 1 2 3 1 8 3 14 2 2 3 2 7 |1 1 1 1 2 1 1 1 3 3 1 1 1 4 1 1 |7 4 15 4 1 1 1 11 1 2 7 8 1 8 1 1 |1 1 1 1 2 2 7 8 12 7 5 3 1 1 2 1 |1 2 1 2 2 1 2 1 1 1 1 1 1 6 1 13 |1 1 1 1 1 1 1 6 2 2 1 1 4 11 1 1 |1 6 7 6 1 1 2 1 3 13 5 1 1 1 2 1 |8 1 1 1 2 1 1 1 6 16 11 5 1 5 17 12 |
101: 1 3 1 1 1 1 10 2 3 1 1 2 6 1 3 3 |1 14 1 1 1 1 9 4 1 1 1 13 8 1 5 6 |1 13 13 15 1 7 1 1 1 1 2 1 1 3 1 1 |1 1 12 1 2 3 1 6 1 2 1 1 1 2 1 1 |1 6 1 1 1 2 1 2 2 2 9 1 1 4 1 1 |1 1 1 1 2 1 1 1 3 3 1 1 1 4 1 1 |7 4 15 4 1 1 1 11 1 2 7 8 1 8 1 1 |1 1 1 1 2 2 7 8 12 7 5 3 1 1 2 1 |1 2 1 2 2 1 2 1 1 1 1 1 1 6 1 13 |1 1 1 1 1 1 1 6 2 2 1 1 4 11 1 1 |1 6 7 6 1 1 2 1 3 13 5 1 1 1 2 1 |8 1 1 1 2 1 1 1 6 16 11 5 1 5 17 12 |
112: 1 3 1 1 1 1 10 2 3 1 1 2 6 1 3 3 |1 14 1 1 1 1 9 4 1 1 1 13 8 1 5 6 |1 13 13 15 1 7 1 1 1 1 2 1 1 3 1 1 |1 1 12 1 2 3 1 6 1 2 1 1 1 2 1 1 |1 6 1 1 1 2 1 2 2 2 9 1 1 4 1 1 |1 1 1 1 1 1 1 1 9 4 1 2 1 4 3 1 |1 1 2 8 4 1 1 11 1 1 5 15 7 1 1 1 |1 1 1 1 2 1 1 1 5 1 4 1 1 1 1 1 |1 1 1 1 2 1 15 13 7 1 1 5 1 13 1 3 |1 1 11 6 11 5 1 5 1 1 14 1 6 12 3 1 |1 7 6 2 1 1 2 7 1 2 7 1 1 1 7 14 |8 1 1 1 1 8 5 1 4 2 9 1 1 2 17 9 |
123: 1 3 1 1 1 1 10 2 3 1 1 2 6 1 3 3 |1 14 1 1 1 1 9 4 1 1 1 13 8 1 5 6 |1 13 13 15 1 7 1 1 1 1 2 1 1 3 1 1 |1 1 12 1 2 3 1 6 1 2 1 1 1 2 1 1 |1 6 1 1 1 2 1 2 2 2 9 1 1 4 1 1 |1 1 1 1 1 1 1 1 9 4 1 2 1 4 3 1 |1 1 2 8 4 1 1 11 1 1 5 15 7 1 1 1 |1 1 1 1 2 1 1 1 5 1 4 1 1 1 1 1 |1 1 1 1 2 1 15 13 7 1 1 5 1 13 1 3 |1 1 11 6 11 5 1 5 1 1 14 1 6 12 3 1 |1 7 6 2 1 1 2 7 1 2 7 1 1 1 7 14 |8 1 1 1 1 8 5 1 4 2 9 1 1 2 17 9 |
133: 1 1 1 1 1 1 8 1 1 2 1 1 7 1 3 2 |1 1 1 1 1 1 3 1 1 3 2 8 4 1 1 1 |1 2 13 2 1 6 7 1 1 5 1 2 1 3 1 1 |1 1 13 1 1 2 6 10 1 1 1 5 1 1 4 1 |1 6 1 1 1 2 1 2 2 2 9 1 1 4 1 1 |1 1 1 1 1 1 1 1 9 4 1 2 1 4 3 1 |1 1 2 8 4 1 1 11 1 1 5 15 7 1 1 1 |1 1 1 1 2 1 1 1 5 1 4 1 1 1 1 1 |1 1 1 1 2 1 15 13 7 1 1 5 1 13 1 3 |1 1 11 6 11 5 1 5 1 1 14 1 6 12 3 1 |1 7 6 2 1 1 2 7 1 2 7 1 1 1 7 14 |8 1 1 1 1 8 5 1 4 2 9 1 1 2 17 9 |
144: 1 1 1 1 1 1 8 1 1 2 1 1 7 1 3 2 |1 1 1 1 1 1 3 1 1 3 2 8 4 1 1 1 |1 2 13 2 1 6 7 1 1 5 1 2 1 3 1 1 |1 1 13 1 1 2 6 10 1 1 1 5 1 1 4 1 |1 7 2 3 1 2 1 2 1 1 2 2 1 5 2 3 |1 13 1 1 2 1 1 1 10 1 1 1 3 6 1 2 |1 1 1 6 4 1 1 10 1 1 5 16 2 1 1 1 |1 1 11 1 4 1 6 12 1 1 5 1 1 1 3 1 |1 1 6 1 2 1 3 13 7 1 1 5 1 13 1 16 |1 1 1 1 1 1 1 6 1 1 3 1 6 12 3 1 |2 1 1 2 2 1 2 7 3 8 7 1 1 1 1 15 |8 1 1 1 1 8 5 1 4 2 9 1 1 2 17 9 |
155: 1 1 1 1 1 1 8 1 1 2 1 1 7 1 3 2 |1 1 1 1 1 1 3 1 1 3 2 8 4 1 1 1 |1 2 13 2 1 6 7 1 1 5 1 2 1 3 1 1 |1 1 13 1 1 2 6 10 1 1 1 5 1 1 4 1 |1 7 2 3 1 2 1 2 1 1 2 2 1 5 2 3 |1 13 1 1 2 1 1 1 10 1 1 1 3 6 1 2 |1 1 1 6 4 1 1 10 1 1 5 16 2 1 1 1 |1 1 11 1 4 1 6 12 1 1 5 1 1 1 3 1 |1 1 6 1 2 1 3 13 7 1 1 5 1 13 1 16 |1 1 1 1 1 1 1 6 1 1 3 1 6 12 3 1 |2 1 1 2 2 1 2 7 3 8 7 1 1 1 1 15 |9 1 1 1 1 1 1 1 5 16 11 1 1 5 17 12 |
166: 1 3 1 1 1 1 9 1 4 1 1 1 1 1 2 4 |4 7 1 1 3 1 1 1 1 1 1 1 9 2 1 1 |1 2 13 2 1 6 7 1 1 5 1 2 1 3 1 1 |1 1 13 1 1 2 6 10 1 1 1 5 1 1 4 1 |1 7 2 3 1 2 1 2 1 1 2 2 1 5 2 3 |1 13 1 1 2 1 1 1 10 1 1 1 3 6 1 2 |1 1 1 6 4 1 1 10 1 1 5 16 2 1 1 1 |1 1 11 1 4 1 6 12 1 1 5 1 1 1 3 1 |1 1 6 1 2 1 3 13 7 1 1 5 1 13 1 16 |1 1 1 1 1 1 1 6 1 1 3 1 6 12 3 1 |2 1 1 2 2 1 2 7 3 8 7 1 1 1 1 15 |9 1 1 1 1 1 1 1 5 16 11 1 1 5 17 12 |
