trial_num,repeating_trial,reward,trial_start_time(ms),log_sent_config_to_cameras(ms),object_in_position_time(ms),arm_liftoff_time(ms),log_started_camera_recording(ms),log_started_ps_recording(ms),log_started_ephys_recording(ms),log_sent_start_sync_messages(ms),log_started_monitoring_ps(ms),started_touching_time(ms),trial_end_time(ms),log_starting_finishing_recordings(ms),log_sent_end_sync_messages(ms),log_stopped_camera_recordings(ms),log_stopped_ps_recordings(ms),trial_finished_time(ms),pos_translation_z(mm),pos_tilt(deg),pos_aperture(mm),targetForce(N),targetForceRelRangeMin(N),targetForceRelRangeMax(N),
0,0,0,14037843,14037883,14037899,14037900,14037899,14037899,14037843,14037843,14037900,0,14057904,14058904,14058905,14058915,14058915,14058915,150,0,0,1,-0.25,100,
1,0,0,14060918,14060964,14060979,14060980,14060979,14060979,14060918,14060919,14060980,0,14080981,14081982,14081983,14081993,14081993,14081993,157.5,0,0,1,-0.25,100,
2,0,0,14083997,14084066,14084081,14084081,14084081,14084081,14083997,14083998,14084081,0,14104083,14105084,14105084,14105095,14105095,14105095,157.5,0,0,1,-0.25,100,
3,0,0,14107098,14107143,14107159,14107159,14107159,14107159,14107098,14107099,14107160,0,14127161,14128161,14128162,14128171,14128171,14128171,165,0,0,1,-0.25,100,
4,0,0,14129749,14129789,14129803,14129804,14129803,14129803,14129749,14129749,14129804,0,14130808,14131809,14131809,14131820,14131820,14131820,165,0,0,1,-0.25,100,
