trial_num,repeating_trial,reward,trial_start_time(ms),log_sent_config_to_cameras(ms),object_in_position_time(ms),arm_liftoff_time(ms),log_started_camera_recording(ms),log_started_ps_recording(ms),log_started_ephys_recording(ms),log_sent_start_sync_messages(ms),log_started_monitoring_ps(ms),started_touching_time(ms),trial_end_time(ms),log_starting_finishing_recordings(ms),log_sent_end_sync_messages(ms),log_stopped_camera_recordings(ms),log_stopped_ps_recordings(ms),trial_finished_time(ms),pos_translation_z(mm),pos_tilt(deg),pos_aperture(mm),targetForce(N),targetForceRelRangeMin(N),targetForceRelRangeMax(N),
0,0,0,756514158,756514189,756514203,756514204,756514203,756514203,756514158,756514160,756514204,0,756534213,756535214,756535215,756535224,756535224,756535224,150,0,0,1,-0.25,100,
1,0,0,756537228,756537262,756537278,756537279,756537278,756537278,756537228,756537228,756537279,0,756557280,756558281,756558281,756558288,756558288,756558288,157.5,0,0,1,-0.25,100,
2,0,0,756560291,756560329,756560345,756560346,756560345,756560345,756560291,756560291,756560346,0,756580350,756581351,756581351,756581359,756581359,756581359,157.5,0,0,1,-0.25,100,
3,0,0,756583362,756583399,756583414,756583414,756583414,756583414,756583362,756583363,756583414,0,756587526,756588526,756588526,756588534,756588534,756588534,165,0,0,1,-0.25,100,
