trial_num,repeating_trial,reward,trial_start_time(ms),log_sent_config_to_cameras(ms),object_in_position_time(ms),arm_liftoff_time(ms),log_started_camera_recording(ms),log_started_ps_recording(ms),log_started_ephys_recording(ms),log_sent_start_sync_messages(ms),log_started_monitoring_ps(ms),started_touching_time(ms),trial_end_time(ms),log_starting_finishing_recordings(ms),log_sent_end_sync_messages(ms),log_stopped_camera_recordings(ms),log_stopped_ps_recordings(ms),trial_finished_time(ms),pos_translation_z(mm),pos_tilt(deg),pos_aperture(mm),targetForce(N),targetForceRelRangeMin(N),targetForceRelRangeMax(N),
0,0,0,13457082,13457126,13457144,13457145,13457144,13457144,13457082,13457082,13457145,0,13477146,13478146,13478147,13478156,13478156,13478156,150,0,0,1,-0.25,100,
1,0,0,13579213,13579248,13579263,13579263,13579263,13579263,13579213,13579214,13579263,0,13599265,13600265,13600266,13600274,13600274,13600274,157.5,0,0,1,-0.25,100,
2,0,0,13603580,13603620,13603634,13603634,13603634,13603634,13603580,13603580,13603635,0,13605465,13606465,13606466,13606474,13606474,13606474,157.5,0,0,1,-0.25,100,
