trial_num,repeating_trial,reward,trial_start_time(ms),log_sent_config_to_cameras(ms),object_in_position_time(ms),arm_liftoff_time(ms),log_started_camera_recording(ms),log_started_ps_recording(ms),log_started_ephys_recording(ms),log_sent_start_sync_messages(ms),log_started_monitoring_ps(ms),started_touching_time(ms),trial_end_time(ms),log_starting_finishing_recordings(ms),log_sent_end_sync_messages(ms),log_stopped_camera_recordings(ms),log_stopped_ps_recordings(ms),trial_finished_time(ms),pos_translation_z(mm),pos_tilt(deg),pos_aperture(mm),targetForce(N),targetForceRelRangeMin(N),targetForceRelRangeMax(N),
0,0,0,199760052,199760052,199760053,199760054,199760053,199760053,199760052,199760052,199760054,0,199761862,199762864,199762864,199762864,199762864,199762864,150,0,0,1,-0.25,100,
1,0,0,199763582,199763582,199763583,199763584,199763583,199763583,199763582,199763582,199763584,0,199766199,199767201,199767201,199767201,199767201,199767201,157.5,0,0,1,-0.25,100,
2,0,0,199776109,199776109,199776110,199776111,199776110,199776110,199776109,199776109,199776111,0,199779299,199780299,199780299,199780299,199780299,199780299,157.5,0,0,1,-0.25,100,
