translation_X,tilt,aperture
position,position,position
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
90.0,0.0,0.0
